model_name,best_mse,best_r2,best_rmse,mse,r2,rmse
DTR,8.26470165599258e-06,0.9797771023214458,0.0028748394139486437,2.895337285167896e-05,0.9291539947840726,0.005380833843530105
GBR,4.205481540390601e-06,0.989709607627675,0.0020507270760368383,8.118895141196143e-06,0.9801338762683258,0.00284936749844525
LR,0.00015482685366526594,0.6211541868187214,0.012442943930809379,0.00015482685366526594,0.6211541868187214,0.012442943930809379
RFR,4.686965799321414e-06,0.9885314638413071,0.0021649401375838117,4.6307604902270805e-06,0.9886689926066657,0.0021519201867697324
SVR,0.00017205285544012475,0.5790038847505306,0.013116891988581928,0.00022401631596032212,0.45185449825554524,0.014967174615147714
XGB,3.98262336729109e-06,0.9902549192697659,0.001995651113619585,4.437779057876622e-06,0.9891411988547224,0.002106603678406696
