model_name,best_mse,best_r2,best_rmse,mse,r2,rmse
DTR,0.0009714938336859415,0.8033041810661362,0.031168795833107533,0.0011160096951484224,0.7740444320758151,0.03340673128500336
GBR,0.0006247586432570933,0.8735067493890137,0.024995172399027245,0.0007463028495536954,0.8488980114174403,0.02731854405991826
LR,0.002064996161808893,0.581905620953646,0.04544222883848121,0.002064996161808893,0.581905620953646,0.04544222883848121
RFR,0.0006479354559862355,0.86881420065431,0.02545457632698363,0.0006430227269420954,0.8698088680716739,0.02535789279380476
SVR,0.0024926437290882304,0.49532093503552965,0.049926383096397346,0.0023693446396178194,0.5202849796194939,0.048675914368585
XGB,0.0006546082734722817,0.8674631727275199,0.025585313628569844,0.0006517468906207693,0.8680425094394434,0.025529333924346115
