model_name,best_mse,best_r2,best_rmse,mse,r2,rmse
DTR,1.6587678408986935e-05,0.9799494727388688,0.004072797369006582,5.0229914878548736e-05,0.9392840726251969,0.007087306602549994
GBR,8.046847036130969e-06,0.9902732906989152,0.0028366965005320833,1.6312135086506545e-05,0.9802825385701923,0.00403882842994185
LR,0.00028900442231542513,0.650662925495141,0.017000130067603165,0.00028900442231542513,0.650662925495141,0.017000130067603165
RFR,9.870728996230191e-06,0.9880686545792372,0.0031417716333671025,1.0223574497084213e-05,0.9876421489429809,0.0031974324851487034
SVR,0.0003044717754294714,0.6319666029824799,0.017449119617604533,0.0003624392970289971,0.5618977637251551,0.019037838559799722
XGB,7.934530900636035e-06,0.9904090539854391,0.0028168299381815783,8.809767276381068e-06,0.989351102994401,0.002968125212382569
