model_name,best_mse,best_r2,best_rmse,mse,r2,rmse
DTR,4.028415528785108e-05,0.9709226853732223,0.006346980013191398,9.613658983853144e-05,0.9306081050997367,0.009804926814542342
GBR,2.0325509738706752e-05,0.9853289404382709,0.004508382164225517,3.9747194771496814e-05,0.9713102662909461,0.0063045376334428214
LR,0.0005769161710396386,0.5835788811077669,0.024019079312905367,0.0005769161710396386,0.5835788811077669,0.024019079312905367
RFR,2.6032444649002596e-05,0.9812096448801173,0.005102199981282838,2.619579850298466e-05,0.9810917352113209,0.0051181831251904866
SVR,0.0006342069936228603,0.5422260648062762,0.025183466672062057,0.0006870866676056895,0.5040572387064558,0.02621233807972287
XGB,2.028743938985613e-05,0.9853564198157971,0.0045041580111998885,2.22905163790261e-05,0.9839105883364085,0.004721283340261003
