model_name,best_mse,best_r2,best_rmse,mse,r2,rmse
DTR,4.4247190937421593e-07,0.9830754931914542,0.0006651856202401071,1.4630324990932857e-06,0.9440391514863675,0.0012095588034871582
GBR,1.7520702533832494e-07,0.9932983485947451,0.000418577382736245,3.9588097782204745e-07,0.9848575917192146,0.0006291907324667517
LR,1.0696322799024033e-05,0.5908667099465907,0.0032705233218896378,1.0696322799024033e-05,0.5908667099465907,0.0032705233218896378
RFR,1.982879971088954e-07,0.9924155037053795,0.0004452954043204302,1.9976005031682747e-07,0.9923591978156442,0.0004469452430855792
SVR,1.183498084310895e-05,0.5473131522823859,0.0034402006980856436,1.4385739523001139e-05,0.4497468848421583,0.0037928537439507392
XGB,2.2276216625497223e-07,0.9914793691540763,0.0004719768704660984,2.363324085222132e-07,0.9909603087283639,0.0004861403177295761
