model_name,best_mse,best_r2,best_rmse,mse,r2,rmse
DTR,0.00026873707243221513,0.9859449960881258,0.016393202018892317,0.0009744026984635491,0.9490385393622965,0.031215424047472896
GBR,0.00011775479221586277,0.9938414002569246,0.010851488018509848,0.00028455085172488724,0.9851179321932622,0.016868635147067684
LR,0.007830744110917233,0.5904504796613461,0.08849149174308925,0.007830744110917233,0.5904504796613461,0.08849149174308925
RFR,0.00012748472250863533,0.9933325229104182,0.011290913271681585,0.00012833779545375515,0.9932879070207226,0.011328627253721218
SVR,0.009010656116329575,0.5287408401923784,0.09492447585491097,0.00965171057585185,0.4952135607040501,0.09824311973798394
XGB,0.00010098858053788857,0.9947182765605491,0.0100493074655863,0.00012123851173245462,0.9936592010129184,0.011010836105058264
