model_name,best_mse,best_r2,best_rmse,mse,r2,rmse
DTR,0.00015008371969266182,0.814954287418108,0.012250866079288509,0.00022817528094263214,0.7186713019768847,0.015105471887452974
GBR,0.00010093230578376914,0.8755555200488266,0.010046507143468776,0.00012991753206301817,0.8398181871643908,0.011398137218994082
LR,0.00035156196710148805,0.566541695180498,0.01874998578936763,0.00035156196710148805,0.566541695180498,0.01874998578936763
RFR,0.00010477083756667516,0.8708228025329586,0.010235762676355639,0.00010593440864047174,0.8693881776520503,0.010292444250054102
SVR,0.00038712198969855746,0.5226979675971349,0.019675415871044696,0.00043840414880690016,0.45946963280923314,0.020938102798651558
XGB,0.00010611452254087317,0.869166106230087,0.010301190345822815,0.00010614136977098437,0.869133004939441,0.010302493376410603
