,model_name,pollutant,mse,rmse,r2,best_mse,best_rmse,best_r2,best_params
0,LR,CO2,156343.23707624507,395.40262654191497,0.6228061024706681,,,,
0,LR,NOx,1.3337240174376739,1.1548696971683317,0.5887914721059816,,,,
0,LR,PM10_Brake,0.0020649961618088935,0.04544222883848121,0.5819056209536458,,,,
0,LR,PM10_Exhaust,0.0008067369355814341,0.02840311489223381,0.5964592889324113,,,,
0,LR,PM10_Resusp,0.007830744110917233,0.08849149174308925,0.5904504796613461,,,,
0,LR,PM10_Tyre,0.0002890044223154252,0.017000130067603165,0.650662925495141,,,,
0,LR,PM25_Brake,0.00035156196710148816,0.018749985789367634,0.5665416951804979,,,,
0,LR,PM25_Exhaust,0.0005769161710396388,0.024019079312905374,0.5835788811077669,,,,
0,LR,PM25_Resusp,1.0696322799024043e-05,0.0032705233218896395,0.5908667099465899,,,,
0,LR,PM25_Tyre,0.000154826853665266,0.01244294393080938,0.6211541868187213,,,,
0,XGB,CO2,4248.047338888423,65.1770461043489,0.9897511554537981,3726.5828714324016,61.045744089431835,0.9910092413075973,"{'max_depth': 6, 'n_estimators': 200}"
0,XGB,NOx,0.07502231582260359,0.27390201865375796,0.9768694155272984,0.06234448170662684,0.24968876968463527,0.9807781953314824,"{'max_depth': 8, 'n_estimators': 200}"
0,XGB,PM10_Brake,0.0006517468906207694,0.025529333924346115,0.8680425094394434,0.0006546082734722818,0.025585313628569844,0.8674631727275199,"{'max_depth': 6, 'n_estimators': 120}"
0,XGB,PM10_Exhaust,2.649124024145316e-05,0.0051469641772071,0.9867487238372276,2.433226087529787e-05,0.004932774156121266,0.9878286744756233,"{'max_depth': 6, 'n_estimators': 200}"
0,XGB,PM10_Resusp,0.00012123851173245462,0.011010836105058264,0.9936592010129184,0.00010098858053788854,0.0100493074655863,0.9947182765605491,"{'max_depth': 6, 'n_estimators': 200}"
0,XGB,PM10_Tyre,8.80976727638107e-06,0.002968125212382569,0.989351102994401,7.934530900636037e-06,0.0028168299381815787,0.9904090539854391,"{'max_depth': 6, 'n_estimators': 200}"
0,XGB,PM25_Brake,0.00010614136977098437,0.010302493376410603,0.8691330049394411,0.00010611452254087318,0.010301190345822817,0.869166106230087,"{'max_depth': 6, 'n_estimators': 120}"
0,XGB,PM25_Exhaust,2.2290516379026105e-05,0.004721283340261004,0.9839105883364085,2.0287439389856145e-05,0.004504158011199889,0.9853564198157971,"{'max_depth': 6, 'n_estimators': 200}"
0,XGB,PM25_Resusp,2.3633240852221214e-07,0.000486140317729575,0.9909603087283639,2.227621662549712e-07,0.0004719768704660973,0.9914793691540763,"{'max_depth': 8, 'n_estimators': 120}"
0,XGB,PM25_Tyre,4.43777905787662e-06,0.0021066036784066953,0.9891411988547224,3.982623367291088e-06,0.001995651113619585,0.9902549192697659,"{'max_depth': 6, 'n_estimators': 200}"
