model_name,best_mse,best_r2,best_rmse,mse,r2,rmse
DTR,6.141737495154838e-05,0.9692781995385028,0.007836923819429941,0.00012539893120846478,0.9372737609559078,0.011198166421716761
GBR,2.5179368362380418e-05,0.9874049398694451,0.0050179047781300536,5.23467732373466e-05,0.9738154370246256,0.007235106995570045
LR,0.0008067369355814339,0.5964592889324114,0.028403114892233808,0.0008067369355814339,0.5964592889324114,0.028403114892233808
RFR,3.0021769435629244e-05,0.9849827054505327,0.005479212483161175,2.9690074433202608e-05,0.9851486237706606,0.0054488599204973705
SVR,0.0009492061246991035,0.5251942763291007,0.030809188965292538,0.0009373092222723734,0.5311452676040003,0.030615506239034713
XGB,2.4332260875297865e-05,0.9878286744756233,0.004932774156121266,2.649124024145316e-05,0.9867487238372276,0.0051469641772071
